timestep,elapsed,hour,ti,to,tChange,ventilationLoss,transmissionLoss,heatChange,applianceGain,internalGain,co2,consumption,occupancy,heatpumpState,ventilationState
0.5,0,0,728.2222222222223,0,710.2222222222223,0,3.1184999999999996,-0.0031184999999999997,0,0,0.0004,0,0,off,false
0.5,0.5,0,40185.01234567902,0,39456.7901234568,0,126.16450000000002,-0.14699783333333336,-20.833333333333332,0,0.0004,8.333333333333334,0,cooling,false
0.5,1,0,2232228.9080932788,0,2192043.8957475997,0,6962.0533888888895,-6.982886722222222,-20.833333333333332,0,0.0004,8.333333333333334,0,cooling,false
0.5,1.5,0,124012445.33851549,0,121780216.43042222,0,386733.6583271605,-386.75449166049384,-20.833333333333332,0,0.0004,8.333333333333334,0,cooling,false
0.5,2,0,6889580024.8064165,0,6765567579.467901,0,21485156.15489781,-21485.176988231142,-20.833333333333332,0,0.0004,8.333333333333334,0,cooling,false
0.5,2.5,0,382754445550.8009,0,375864865525.9945,0,1193619739.2977116,-1193619.760131045,-20.833333333333332,0,0.0004,8.333333333333334,0,cooling,false
0.5,3,0,21264135863661.605,0,20881381418110.805,0,66312207691.676254,-66312207.71250958,-20.833333333333332,0,0.0004,8.333333333333334,0,cooling,false
0.5,3.5,0,1181340881314261.8,0,1160076745450600.2,0,3684011538379.373,-3684011538.4002066,-20.833333333333332,0,0.0004,8.333333333333334,0,cooling,false
0.5,4,0,65630048961903170,0,64448708080588904,0,204667307687695.84,-204667307687.71667,-20.833333333333332,0,0.0004,8.333333333333334,0,cooling,false
0.5,4.5,0,3646113831216842000,0,3580483782254939000,0,11370405982649724,-11370405982649.746,-20.833333333333332,0,0.0004,8.333333333333334,0,cooling,false
0.5,5,0,202561879512046800000,0,198915765680829960000,0,631689221258317800,-631689221258317.9,-20.833333333333332,0,0.0004,8.333333333333334,0,cooling,false
0.5,5.5,0,1.1253437750669266e+22,0,1.105087587115722e+22,0,35093845625462110000,-35093845625462104,-20.833333333333332,0,0.0004,8.333333333333334,0,cooling,false
0.5,6,0,6.251909861482925e+23,0,6.139375483976232e+23,0,1.9496580903034503e+21,-1949658090303450400,-20.833333333333332,0,0.0004,8.333333333333334,0,cooling,false
0.5,6.5,0,3.4732832563794026e+25,0,3.4107641577645736e+25,0,1.0831433835019166e+23,-108314338350191660000,-20.833333333333332,0,0.0004,8.333333333333334,0,cooling,false
0.5,7,0,1.9296018090996682e+27,0,1.894868976535874e+27,0,6.017463241677315e+24,-6.017463241677316e+21,-20.833333333333332,0,0.0004,8.333333333333334,0,cooling,false
0.5,7.5,0,1.0720010050553713e+29,0,1.0527049869643747e+29,0,3.3430351342651755e+26,-3.343035134265175e+23,-20.833333333333332,0,0.0004,8.333333333333334,0,cooling,false
