timestep,elapsed,hour,ti,to,tChange,ventilationLoss,transmissionLoss,heatChange,applianceGain,internalGain,co2,consumption,occupancy,heatpumpState,ventilationState
1,0,0,15,0,-3,0,33,-0.033,0,0,0.0004,0,0,off,false
1,1,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,2,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,3,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,4,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,5,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,6,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,7,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,8,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,9,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,10,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,11,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,12,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,13,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,14,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,15,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,16,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,17,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,18,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,19,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,20,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,21,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,22,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,23,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,24,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,25,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,26,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,27,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,28,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,29,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,30,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,31,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,32,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,33,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,34,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,35,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,36,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,37,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,38,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,39,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,40,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,41,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,42,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,43,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,44,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,45,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,46,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,47,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,48,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,49,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,50,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,51,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,52,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,53,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,54,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,55,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,56,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,57,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,58,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,59,0,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,60,1,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,61,1,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,62,1,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,63,1,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,64,1,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,65,1,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,66,1,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,67,1,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,68,1,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,69,1,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,70,1,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,71,1,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,72,1,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,73,1,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,74,1,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,75,1,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,76,1,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,77,1,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,78,1,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,79,1,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
1,80,1,15,0,0,0,27.5,0.05583333333333333,83.33333333333333,0,0.0004,16.666666666666668,0,heating,false
