timestep,elapsed,hour,ti,to,tChange,ventilationLoss,transmissionLoss,heatChange,applianceGain,internalGain,co2,consumption,occupancy,heatpumpState,ventilationState
10,0,0,18,0,0,0,330,-0.32999999999999996,0,0,0.0004,0,0,off,false
10,10,0,18,0,0,0,330,-0.32999999999999996,0,0,0.0004,0,0,off,false
10,20,0,18,0,0,0,330,-0.32999999999999996,0,0,0.0004,0,0,off,false
10,30,0,18,0,0,0,330,-0.32999999999999996,0,0,0.0004,0,0,off,false
10,40,0,18,0,0,0,330,-0.32999999999999996,0,0,0.0004,0,0,off,false
10,50,0,18,0,0,0,330,-0.32999999999999996,0,0,0.0004,0,0,off,false
10,60,1,17.9,0,-0.10000000000000142,0,330,-0.32999999999999996,0,0,0.0004,0,0,off,false
10,70,1,18,0,0.10000000000000142,0,328.16666666666663,0.5051666666666667,833.3333333333333,0,0.0004,166.66666666666666,0,heating,false
10,80,1,18,0,0,0,330,0.5033333333333333,833.3333333333333,0,0.0004,166.66666666666666,0,heating,false
10,90,1,18,0,0,0,330,0.5033333333333333,833.3333333333333,0,0.0004,166.66666666666666,0,heating,false
10,100,1,18,0,0,0,330,0.5033333333333333,833.3333333333333,0,0.0004,166.66666666666666,0,heating,false
10,110,1,18.1,0,0.10000000000000142,0,330,0.5033333333333333,833.3333333333333,0,0.0004,166.66666666666666,0,heating,false
10,120,2,18.1,-1,0,0,350.16666666666663,0.48316666666666663,833.3333333333333,0,0.0004,166.66666666666666,0,heating,false
10,130,2,18.1,-1,0,0,350.16666666666663,0.48316666666666663,833.3333333333333,0,0.0004,166.66666666666666,0,heating,false
10,140,2,18.1,-1,0,0,350.16666666666663,0.48316666666666663,833.3333333333333,0,0.0004,166.66666666666666,0,heating,false
10,150,2,18.1,-1,0,0,350.16666666666663,0.48316666666666663,833.3333333333333,0,0.0004,166.66666666666666,0,heating,false
10,160,2,18.1,-1,0,0,350.16666666666663,0.48316666666666663,833.3333333333333,0,0.0004,166.66666666666666,0,heating,false
10,170,2,18.3,-1,0.1999999999999993,0,350.16666666666663,0.48316666666666663,833.3333333333333,0,0.0004,166.66666666666666,0,heating,false
10,180,3,18.3,-1,0,0,353.8333333333333,0.4794999999999999,833.3333333333333,0,0.0004,166.66666666666666,0,heating,false
10,190,3,18.3,-1,0,0,353.8333333333333,0.4794999999999999,833.3333333333333,0,0.0004,166.66666666666666,0,heating,false
10,200,3,18.3,-1,0,0,353.8333333333333,0.4794999999999999,833.3333333333333,0,0.0004,166.66666666666666,0,heating,false
10,210,3,18.4,-1,0.09999999999999787,0,353.8333333333333,0.4794999999999999,833.3333333333333,0,0.0004,166.66666666666666,0,heating,false
10,220,3,18.4,-1,0,0,355.66666666666663,0.4776666666666667,833.3333333333333,0,0.0004,166.66666666666666,0,heating,false
10,230,3,18.4,-1,0,0,355.66666666666663,0.4776666666666667,833.3333333333333,0,0.0004,166.66666666666666,0,heating,false
10,240,4,18.4,-2,0,0,374,0.45933333333333326,833.3333333333333,0,0.0004,166.66666666666666,0,heating,false
10,250,4,18.4,-2,0,0,374,0.45933333333333326,833.3333333333333,0,0.0004,166.66666666666666,0,heating,false
10,260,4,18.4,-2,0,0,374,0.45933333333333326,833.3333333333333,0,0.0004,166.66666666666666,0,heating,false
10,270,4,18.4,-2,0,0,374,0.45933333333333326,833.3333333333333,0,0.0004,166.66666666666666,0,heating,false
10,280,4,18.6,-2,0.20000000000000284,0,374,0.45933333333333326,833.3333333333333,0,0.0004,166.66666666666666,0,heating,false
10,290,4,18.6,-2,0,0,377.66666666666663,0.45566666666666666,833.3333333333333,0,0.0004,166.66666666666666,0,heating,false
10,300,5,18.6,-2,0,0,377.66666666666663,0.45566666666666666,833.3333333333333,0,0.0004,166.66666666666666,0,heating,false
10,310,5,18.6,-2,0,0,377.66666666666663,0.45566666666666666,833.3333333333333,0,0.0004,166.66666666666666,0,heating,false
10,320,5,18.7,-2,0.09999999999999787,0,377.66666666666663,0.45566666666666666,833.3333333333333,0,0.0004,166.66666666666666,0,heating,false
10,330,5,18.7,-2,0,0,379.5,0.4538333333333333,833.3333333333333,0,0.0004,166.66666666666666,0,heating,false
10,340,5,18.7,-2,0,0,379.5,0.4538333333333333,833.3333333333333,0,0.0004,166.66666666666666,0,heating,false
10,350,5,18.7,-2,0,0,379.5,0.4538333333333333,833.3333333333333,0,0.0004,166.66666666666666,0,heating,false
10,360,6,18.7,-2,0,0,379.5,0.4538333333333333,833.3333333333333,0,0.0004,166.66666666666666,0,heating,false
10,370,6,18.7,-2,0,0,379.5,0.4538333333333333,833.3333333333333,0,0.0004,166.66666666666666,0,heating,false
10,380,6,18.7,-2,0,0,379.5,0.4538333333333333,833.3333333333333,0,0.0004,166.66666666666666,0,heating,false
10,390,6,18.8,-2,0.10000000000000142,0,379.5,0.4538333333333333,833.3333333333333,0,0.0004,166.66666666666666,0,heating,false
10,400,6,18.8,-2,0,0,381.3333333333333,0.452,833.3333333333333,0,0.0004,166.66666666666666,0,heating,false
10,410,6,18.8,-2,0,0,381.3333333333333,0.452,833.3333333333333,0,0.0004,166.66666666666666,0,heating,false
10,420,7,18.8,-1,0,0,363,0.4703333333333333,833.3333333333333,0,0.0004,166.66666666666666,0,heating,false
10,430,7,19,-1,0.1999999999999993,0,363,0.4703333333333333,833.3333333333333,0,0.0004,166.66666666666666,0,heating,false
10,440,7,19,-1,0,0,366.66666666666663,0.4666666666666666,833.3333333333333,0,0.0004,166.66666666666666,0,heating,false
10,450,7,19,-1,0,0,366.66666666666663,0.4666666666666666,833.3333333333333,0,0.0004,166.66666666666666,0,heating,false
10,460,7,19,-1,0,0,366.66666666666663,0.4666666666666666,833.3333333333333,0,0.0004,166.66666666666666,0,heating,false
10,470,7,19,-1,0,0,366.66666666666663,0.4666666666666666,833.3333333333333,0,0.0004,166.66666666666666,0,heating,false
10,480,8,19,-1,0,0,366.66666666666663,0.6833333333333332,833.3333333333333,216.66666666666666,0.0026222222222222224,166.66666666666666,10,heating,false
