timestep,elapsed,hour,ti,to,tChange,ventilationLoss,transmissionLoss,heatChange,applianceGain,internalGain,co2,consumption,occupancy,heatpumpState,ventilationState
0.5,0,0,18.03823055555555,0,0.03823055555555044,0,3.1184999999999996,-0.0031184999999999997,0,0,0.0004,0,0,off,false
0.5,0.5,0,18.02086875864582,0,-0.017361796909732163,0,3.125123443749999,-0.0031251234437499986,0,0,0.0004,0,0,off,false
0.5,1,0,18.003523672465636,0,-0.017345086180181823,0,3.122115512435388,-0.003122115512435388,0,0,0.0004,0,0,off,false
0.5,1.5,0,17.986195280930882,0,-0.017328391534753962,0,3.1191104762546713,-0.003119110476254671,0,0,0.0004,0,0,off,false
0.5,2,0,17.96888356797299,0,-0.017311712957891245,0,3.1161083324212755,-0.0031161083324212756,0,0,0.0004,0,0,off,false
0.5,2.5,0,17.951588517538823,0,-0.01729505043416779,0,3.1131090781513207,-0.0031131090781513207,0,0,0.0004,0,0,off,false
0.5,3,0,17.934310113590683,0,-0.017278403948139953,0,3.110112710663601,-0.003110112710663601,0,0,0.0004,0,0,off,false
0.5,3.5,0,17.917048340106344,0,-0.017261773484339216,0,3.1071192271795858,-0.0031071192271795857,0,0,0.0004,0,0,off,false
0.5,4,0,17.899803181078976,0,-0.017245159027368118,0,3.1041286249234243,-0.003104128624923424,0,0,0.0004,0,0,off,false
0.5,4.5,0,17.882574620517182,0,-0.01722856056179367,0,3.101140901121932,-0.0031011409011219323,0,0,0.0004,0,0,off,false
0.5,5,0,17.865362642444925,0,-0.017211978072257494,0,3.0981560530046015,-0.0030981560530046015,0,0,0.0004,0,0,off,false
0.5,5.5,0,17.848167230901556,0,-0.017195411543369232,0,3.0951740778035832,-0.003095174077803583,0,0,0.0004,0,0,off,false
0.5,6,0,17.830988369941824,0,-0.017178860959731423,0,3.0921949727536946,-0.003092194972753695,0,0,0.0004,0,0,off,false
0.5,6.5,0,17.81382604363576,0,-0.017162326306063846,0,3.089218735092421,-0.003089218735092421,0,0,0.0004,0,0,off,false
0.5,7,0,17.796680236068745,0,-0.017145807567015225,0,3.0862453620598957,-0.0030862453620598956,0,0,0.0004,0,0,off,false
0.5,7.5,0,17.779550931341518,0,-0.01712930472722718,0,3.08327485089891,-0.00308327485089891,0,0,0.0004,0,0,off,false
0.5,8,0,17.762438113570088,0,-0.017112817771430144,0,3.0803071988549178,-0.003080307198854918,0,0,0.0004,0,0,off,false
0.5,8.5,0,17.74534176688579,0,-0.017096346684297714,0,3.0773424031760177,-0.0030773424031760176,0,0,0.0004,0,0,off,false
0.5,9,0,17.72826187543515,0,-0.017079891450638485,0,3.0743804611129626,-0.0030743804611129627,0,0,0.0004,0,0,off,false
0.5,9.5,0,17.711198423380058,0,-0.017063452055094075,0,3.0714213699191397,-0.00307142136991914,0,0,0.0004,0,0,off,false
0.5,10,0,17.69415139489755,0,-0.017047028482508608,0,3.068465126850595,-0.003068465126850595,0,0,0.0004,0,0,off,false
0.5,10.5,0,17.677120774179944,0,-0.017030620717605416,0,3.065511729166,-0.003065511729166,0,0,0.0004,0,0,off,false
0.5,11,0,17.6601065454348,0,-0.017014228745143356,0,3.0625611741266754,-0.0030625611741266754,0,0,0.0004,0,0,off,false
