timestep,elapsed,hour,ti,to,tChange,ventilationLoss,transmissionLoss,heatChange,applianceGain,internalGain,co2,consumption,occupancy,heatpumpState,ventilationState
60,0,0,17.9,0,-0.10000000000000142,0,2197.44,-2.19744,0,0,0.0004,0,0,off,false
60,60,1,18.6,0,0.7000000000000028,0,2185.232,10.314768,12500,0,0.0004,5000,0,heating,false
60,120,2,19.1,-1,0.5,0,2392.768,10.107232,12500,0,0.0004,5000,0,heating,false
60,180,3,19.7,-1,0.5999999999999979,0,2453.808,10.046192,12500,0,0.0004,5000,0,heating,false
60,240,4,20.2,-2,0.5,0,2649.136,9.850864,12500,0,0.0004,5000,0,heating,false
60,300,5,20.7,-2,0.5,0,2710.176,9.789824000000001,12500,0,0.0004,5000,0,heating,false
60,360,6,21.2,-2,0.5,0,2771.216,9.728784,12500,0,0.0004,5000,0,heating,false
60,420,7,21.8,-1,0.6000000000000014,0,2710.176,9.789824000000001,12500,0,0.0004,5000,0,heating,false
60,480,8,21.6,-1,-0.1999999999999993,0,2783.424,-2.1334239999999998,0,650,0.007066666666666667,0,5,off,false
60,540,9,21.5,-1,-0.10000000000000142,21.1536,2759.0080000000003,-2.3901616000000003,0,390,0.0005068376068376073,150,3,off,true
60,600,10,21.5,1,0,0,2502.64,-1.46264,0,1040,0.011173504273504276,0,8,off,false
60,660,11,21.4,2,-0.10000000000000142,18.252,2380.56,-1.358812,0,1040,0.0006849002849002856,150,8,off,true
60,720,12,21.4,3,0,17.222399999999997,2246.272,-1.0934944,0,1170,0.0007205128205128205,150,9,off,true
60,780,13,21.2,3,-0.1999999999999993,17.222399999999997,2246.272,-1.2234944,0,1040,0.000684900284900285,150,8,off,true
60,840,14,21.2,3,0,17.0352,2221.8559999999998,-1.1988911999999998,0,1040,0.000684900284900285,150,8,off,true
60,900,15,21.1,3,-0.09999999999999787,17.0352,2221.8559999999998,-1.8488911999999997,0,390,0.0005068376068376069,150,3,off,true
60,960,16,21.1,2,0,0,2331.728,-1.421728,0,910,0.009840170940170942,0,7,off,false
60,1020,17,20.9,2,-0.20000000000000284,17.8776,2331.728,-1.6996056000000002,0,650,0.0005780626780626786,150,5,off,true
60,1080,18,20.8,1,-0.09999999999999787,0,2429.392,-1.6493919999999997,0,780,0.00857806267806268,0,6,off,false
60,1140,19,20.7,2,-0.10000000000000142,17.596799999999998,2295.1040000000003,-2.3127008,0,0,0.00040000000000000045,150,0,off,true
60,1200,20,20.7,1,0,0,2404.9759999999997,-2.4049759999999996,0,0,0.00040000000000000045,0,0,off,false
60,1260,21,20.4,1,-0.3000000000000007,0,2404.9759999999997,-2.4049759999999996,0,0,0.00040000000000000045,0,0,off,false
60,1320,22,20.4,1,0,0,2368.352,-2.368352,0,0,0.00040000000000000045,0,0,off,false
60,1380,23,20.1,0,-0.29999999999999716,0,2490.432,-2.4904319999999998,0,0,0.00040000000000000045,0,0,off,false
